,name,p,t,z,epsilon_B,gammabeta,gammabeta_err,Req,Req_err,Eeq,Eeq_err,B,B_err,Ne,Ne_err,number_density,number_density_err
27,AT2019dsg,3.0,423,0.035,0.02,0.023224691892144888,0.009335272996007725,2.4585804515346424e+16,9882378549653244.0,1.671242616054472e+48,7.325570587798991e+47,0.23831630331587267,0.07643825959020194,8.921011575715494e+52,3.9103538519595606e+52,2012.525939072352,1127.7883031926306
28,AT2019dsg,3.0,577,0.035,0.02,0.04535858634489235,0.010264861781123881,6.549820822484264e+16,1.482255309341204e+16,7.439404354595067e+48,2.5345712159389902e+48,0.10716032217841764,0.026934878881834143,3.9711177614924865e+53,1.3529417536185018e+53,392.2663617556596,182.29504961225916
16,AT2020opy,2.7,161,0.051,0.1,0.06512235383387388,0.0041701126033219455,2.5839713558635132e+16,1654647119358944.8,2.213826854382387e+48,1.550334942701113e+47,1.0748524731951854,0.07000222681148531,7.210297202041937e+52,5.049345063936423e+51,1009.8949375545344,131.931440019517
17,AT2020opy,2.7,188,0.051,0.1,0.1246986194631698,0.01251758143922232,5.777649927881102e+16,5799759757639442.0,5.980205762271608e+48,5.662884587572534e+47,0.5322746052769313,0.05831297716587057,1.9477160460848854e+53,1.844366501220886e+52,249.57047745261488,55.709927535825585
18,AT2020opy,2.7,300,0.051,0.1,0.08640390786739004,0.008712713623969722,6.388315687307333e+16,6441787934921486.0,4.666855694444454e+48,4.967920377754898e+47,0.4038540137950945,0.04086017912443797,1.5199660483553865e+53,1.618020954474611e+52,143.42080243662818,28.90505136290559
10,AT2020vwl,2.7,52,0.051,0.1,0.0891083883855254,0.019043288322910697,1.1419672840845368e+16,2440489906748848.0,6.49988186628927e+47,1.726450325700369e+47,2.0486879220963794,0.41339590654962555,2.1169713404340897e+52,5.622941978601383e+51,3802.1105466178824,1538.9855577585188
11,AT2020vwl,2.7,55,0.051,0.1,0.07347906573216072,0.03168103263463365,9959970327740052.0,4294313514318502.0,6.023808106709009e+47,2.4516507528972947e+47,2.613163426831533,0.6805418987677324,1.9619170601107625e+52,7.984874936812039e+51,6347.060981411899,2788.9856951339957
12,AT2020vwl,2.7,60,0.051,0.1,0.07809607117913939,0.005031318590901496,1.1548143340842076e+16,743986059783940.5,7.553353814490645e+47,5.050751611940064e+46,2.101297195690279,0.1299403922438319,2.4600806412138536e+52,1.6449985753714377e+51,3858.093979876559,471.4435864255007
13,AT2020vwl,2.7,80,0.051,0.1,0.08394400305897777,0.010465399761990263,1.6550510421205434e+16,2063372027912556.5,1.1978884023489172e+48,1.64767546906632e+47,1.558191714081159,0.18782500919681808,3.901448470876224e+52,5.366377140544852e+51,2144.109444960487,512.8340072123791
14,AT2020vwl,2.7,82,0.051,0.1,0.09784956050761208,0.006664740680762478,1.977445219043989e+16,1346879794551196.0,1.2930590098396965e+48,1.2774774257888987e+47,1.225355663073706,0.0680563615861729,4.211413255858847e+52,4.160664999886395e+51,1310.9985586589612,145.31133603397387
15,AT2020vwl,2.7,130,0.051,0.1,0.08321503974361398,0.006305730917680505,2.6661028959434628e+16,2020275122437633.2,2.7025183015901563e+48,2.666867149133494e+47,1.1331954023498572,0.07487635806130787,8.80193503383028e+52,8.685821434296119e+51,1122.6435254156345,146.58999709527498
0,CNSSJ0019+00,3.0,128,0.0206,0.1,0.030174079482483258,3.469446951953614e-18,9802184688765724.0,0.0,6.27413453498051e+47,0.0,2.4959975111753576,0.0,1.9742077393461275e+52,0.0,5004.210820646984,0.0
1,CNSSJ0019+00,3.0,143,0.0206,0.1,0.053072643740996836,0.0007301353375324418,1.9261302008152904e+16,264983167442505.9,1.1615465583218491e+48,1.7074141885553336e+46,1.2331651809184714,0.017080476002533627,3.654901233412866e+52,5.3725183712940256e+50,1221.7240401185813,34.11231145911281
2,CNSSJ0019+00,3.0,207,0.0206,0.1,0.057142655330325066,0.0033528118315031426,3.00199278671904e+16,1761401684121113.5,1.3866992216731845e+48,8.585527067876576e+46,0.6946684157381451,0.040731694198241214,4.363362500930109e+52,2.701506301668783e+51,388.9492745199922,46.112895718098244
3,CNSSJ0019+00,3.0,246,0.0206,0.1,0.05130772224398281,0.0009702079908638496,3.2032934339154296e+16,605729654473392.4,1.3994556076201465e+48,3.18055004823378e+46,0.6311906053915551,0.010847326879707103,4.40350151248966e+52,1.0007860822226504e+51,320.10805338667944,10.944404647828305
33,SwJ1644+57,2.5,5,0.354,0.001,4.1161201847322975,1.396753607531984,3.6612303697159763e+17,2.5178529280530093e+17,4.050455414878449e+50,2.2872524268154465e+50,0.042855461179183006,0.014840833204855778,1.365945657551296e+52,7.516574665960439e+51,11.556612742420896,7.926099741354406
34,SwJ1644+57,2.5,10,0.354,0.001,4.5684063471495,1.7469980608516458,9.246632537719228e+17,6.728694206537857e+17,5.614503701594541e+50,1.1393643748599803e+50,0.020004635484658678,0.015403627312232814,1.7281355438884905e+52,6.069149257522559e+51,4.156747757881254,7.893373010023462
35,SwJ1644+57,2.5,15,0.354,0.001,4.425710185380345,1.8840109615493288,1.3418477206266888e+18,1.068628141169185e+18,7.470903741524668e+50,1.714054228567365e+50,0.014684371112659331,0.01227723452141789,2.4810248747956103e+52,1.2435184121915734e+52,2.99621168482844,5.850025678680266
36,SwJ1644+57,2.5,22,0.354,0.001,3.3298075104458285,0.47035633720004794,9.724565301392224e+17,2.771387796789586e+17,8.481561945627713e+50,7.052005469476397e+49,0.009695716986075648,0.0021810128561064656,4.18571878874478e+52,3.344072551015259e+51,0.6797089999370471,0.34654673483082876
37,SwJ1644+57,2.5,36,0.354,0.001,2.9867203517787595,0.15809448597599143,1.2656319078246497e+18,1.3474248220397162e+17,1.798494514914643e+51,1.1552181394415408e+50,0.008066133977623688,0.000610411332868606,7.560335631903788e+52,3.651489254820436e+51,0.3657547830706306,0.07048269660300642
38,SwJ1644+57,2.5,51,0.354,0.001,2.2132923339097266,0.18916874849558607,1.009319577121056e+18,1.672756181316835e+17,2.7871232529879352e+51,3.66344216767709e+50,0.011005203049938458,0.0013745308973574478,1.5542856003884095e+53,1.6076931265966357e+52,0.9294184618761012,0.3129113103755872
39,SwJ1644+57,2.5,68,0.354,0.001,2.024829051827761,0.05862602013845585,1.1290571881310816e+18,6.1852228828908616e+16,4.050465403162115e+51,2.0258164845498347e+50,0.010231752052929907,0.0003954519025022873,2.6278920306659357e+53,7.975079456738535e+51,0.8975324261482868,0.09753944122823871
40,SwJ1644+57,2.5,97,0.354,0.001,1.9161072838666016,0.2273206730796733,1.4687663765412762e+18,3.299683054757708e+17,5.6683082621730227e+51,8.371203991349918e+50,0.008209786150337546,0.0018044996683596038,4.277307020229375e+53,5.740858766550173e+52,0.727290546538141,0.3700078819057655
